Causa, Sexo, Etnia, Mortes
IP,F,Hispanic,1710
AEDP,F,Hispanic,437
AEDP,M,White Non-Hispanic,2206
CD,M,Hispanic,1132
As,M,Black Non-Hispanic,1968
CD,F,Asian and Pacific Islander,677
HR,M,Asian and Pacific Islander,221
AOC,F,White Non-Hispanic,17272
CD,M,Black Non-Hispanic,1502
CD,F,Black Non-Hispanic,2147
DH,F,Not Stated/Unknown,691
IH,M,Not Stated/Unknown,30
HIV,F,Hispanic,467
CLD,M,Other Race/ Ethnicity,15
DH,M,Black Non-Hispanic,15887
AD,F,Hispanic,605
IP,M,Hispanic,1640
AEDP,M,Not Stated/Unknown,58
HR,M,White Non-Hispanic,1215
DH,M,Asian and Pacific Islander,4080
HR,F,Hispanic,764
AOC,F,Other Race/ Ethnicity,230
MN,F,Other Race/ Ethnicity,267
AOC,F,Black Non-Hispanic,11178
CLD,M,Hispanic,1148
CD,F,White Non-Hispanic,3250
HIV,M,Black Non-Hispanic,2259
MN,M,White Non-Hispanic,26041
MN,M,Black Non-Hispanic,12361
LR,F,Not Stated/Unknown,53
DH,M,White Non-Hispanic,37249
D,M,White Non-Hispanic,2125
IP,F,Black Non-Hispanic,2288
PP,F,Not Stated/Unknown,55
HR,F,Other Race/ Ethnicity,8
HR,F,Asian and Pacific Islander,269
AOC,M,White Non-Hispanic,16474
AEDP,M,Black Non-Hispanic,1044
MN,M,Not Stated/Unknown,450
DH,F,Asian and Pacific Islander,3429
MBD,M,Hispanic,1335
D,F,Not Stated/Unknown,62
AEDP,M,Other Race/ Ethnicity,42
AEDP,F,White Non-Hispanic,1392
S,M,Not Stated/Unknown,8
D,M,Black Non-Hispanic,2308
MN,M,Asian and Pacific Islander,4495
D,F,White Non-Hispanic,1887
IP,M,White Non-Hispanic,4534
HIV,F,Black Non-Hispanic,1324
S,F,Asian and Pacific Islander,16
LR,M,Black Non-Hispanic,1409
CD,M,Other Race/ Ethnicity,36
DH,F,Hispanic,10630
HIV,F,Not Stated/Unknown,12
AEDP,M,Hispanic,1378
MN,M,Hispanic,8892
D,F,Black Non-Hispanic,3133
D,F,Asian and Pacific Islander,405
CLD,M,Not Stated/Unknown,26
DH,F,Black Non-Hispanic,19335
HR,F,Black Non-Hispanic,1723
D,F,Other Race/ Ethnicity,45
MN,F,White Non-Hispanic,26635
IP,F,White Non-Hispanic,5073
HR,F,White Non-Hispanic,1524
D,M,Not Stated/Unknown,50
CLD,F,Hispanic,183
MBD,M,Not Stated/Unknown,69
MN,F,Not Stated/Unknown,348
AEDP,F,Asian and Pacific Islander,284
S,M,Other Race/ Ethnicity,6
MN,F,Black Non-Hispanic,14525
DH,M,Other Race/ Ethnicity,381
LR,F,Hispanic,1258
IP,M,Not Stated/Unknown,95
AOC,M,Hispanic,9085
AOC,M,Black Non-Hispanic,10228
HIV,M,Other Race/ Ethnicity,10
AEDP,M,Asian and Pacific Islander,463
PP,M,Not Stated/Unknown,97
LR,F,White Non-Hispanic,4002
CD,M,Asian and Pacific Islander,556
AOC,F,Hispanic,7838
MN,F,Asian and Pacific Islander,3432
CD,M,White Non-Hispanic,2116
IH,F,Other Race/ Ethnicity,15
NNN,F,White Non-Hispanic,89
DH,F,White Non-Hispanic,44311
D,F,Hispanic,1693
AOC,M,Other Race/ Ethnicity,242
S,F,White Non-Hispanic,473
IP,M,Other Race/ Ethnicity,44
LR,F,Asian and Pacific Islander,249
AOC,F,Asian and Pacific Islander,2118
MBD,F,White Non-Hispanic,249
HIV,M,Hispanic,1304
LR,F,Black Non-Hispanic,1651
CLD,M,Asian and Pacific Islander,133
LR,M,Asian and Pacific Islander,496
D,M,Hispanic,1499
IP,F,Other Race/ Ethnicity,32
D,M,Other Race/ Ethnicity,73
LR,M,White Non-Hispanic,3083
DH,F,Other Race/ Ethnicity,356
PP,M,Asian and Pacific Islander,19
MN,F,Hispanic,8670
DH,M,Hispanic,10433
VH,F,Asian and Pacific Islander,15
DH,M,Not Stated/Unknown,769
HR,M,Black Non-Hispanic,1180
IP,M,Asian and Pacific Islander,725
IH,F,Asian and Pacific Islander,164
MBD,M,Black Non-Hispanic,298
IP,F,Asian and Pacific Islander,603
HR,F,Not Stated/Unknown,22
NNN,F,Asian and Pacific Islander,48
AD,F,White Non-Hispanic,1702
AD,F,Black Non-Hispanic,601
CD,F,Not Stated/Unknown,51
As,M,Not Stated/Unknown,15
IH,M,Asian and Pacific Islander,327
MBD,M,White Non-Hispanic,2046
CA,M,Asian and Pacific Islander,14
LR,M,Other Race/ Ethnicity,5
As,M,Other Race/ Ethnicity,5
LR,M,Not Stated/Unknown,68
AOC,F,Not Stated/Unknown,307
LR,M,Hispanic,934
CD,F,Hispanic,1428
CD,M,Not Stated/Unknown,18
IP,M,Black Non-Hispanic,1860
AOC,M,Asian and Pacific Islander,2479
NNN,F,Black Non-Hispanic,574
HIV,M,Not Stated/Unknown,60
AOC,M,Not Stated/Unknown,548
IH,M,White Non-Hispanic,1539
NNN,M,Asian and Pacific Islander,42
AD,F,Asian and Pacific Islander,64
D,M,Asian and Pacific Islander,514
MN,M,Other Race/ Ethnicity,251
CA,F,Not Stated/Unknown,8
CD,F,Other Race/ Ethnicity,28
AEDP,F,Other Race/ Ethnicity,6
PP,F,Asian and Pacific Islander,18
IP,F,Not Stated/Unknown,74
HR,M,Not Stated/Unknown,24
AEDP,F,Black Non-Hispanic,157
BN,F,Not Stated/Unknown,5
MBD,F,Hispanic,176
HR,M,Other Race/ Ethnicity,5
As,M,Hispanic,114
MBD,F,Black Non-Hispanic,87
MBD,M,Other Race/ Ethnicity,12
MBD,F,Not Stated/Unknown,12
S,F,Black Non-Hispanic,89
VH,M,Not Stated/Unknown,6
LR,F,Other Race/ Ethnicity,6
IH,M,Other Race/ Ethnicity,11
S,F,Hispanic,49
AD,F,Not Stated/Unknown,8
PP,M,Other Race/ Ethnicity,8
